地址,市场,方向,持仓量,均价,现价,现值($),成本($),盈亏($),盈亏%,到期日,Profile
0xebb27d6e2614fe0b0f0e395460d27964d982c640,Will Alnylam Pharmaceuticals (ALNY) be added to the S&P 500 ,Yes,0.08,0.15,0.0185,0,0.01,-0.01,-8766.7,2026-03-31,https://polymarket.com/profile/0xebb27d6e2614fe0b0f0e395460d27964d982c640
0xebb27d6e2614fe0b0f0e395460d27964d982c640,"Will S&P 500 (SPX) close over $6,760 on the final trading da",No,0.07,0.06,0,0,0,-0,-10000,2026-01-31,https://polymarket.com/profile/0xebb27d6e2614fe0b0f0e395460d27964d982c640
0xebb27d6e2614fe0b0f0e395460d27964d982c640,Will Vertiv Holdings (VRT) be added to the S&P 500 by March ,No,0.04,0.39,0,0,0.01,-0.01,-10000,2026-03-31,https://polymarket.com/profile/0xebb27d6e2614fe0b0f0e395460d27964d982c640
0xebb27d6e2614fe0b0f0e395460d27964d982c640,Will Affirm Holdings (AFRM) be added to the S&P 500 by March,Yes,0.03,0.12,0.021,0,0,-0,-8250,2026-03-31,https://polymarket.com/profile/0xebb27d6e2614fe0b0f0e395460d27964d982c640
0x9b06708f82009f5ad2648d6cdc29c45d365b0b42,"Will S&P 500 (SPX) close over $7,060 on the final trading da",Yes,24836.62,0.0577,0,0,1432.87,-1432.87,-10000,2026-02-28,https://polymarket.com/profile/0x9b06708f82009f5ad2648d6cdc29c45d365b0b42
0x9b06708f82009f5ad2648d6cdc29c45d365b0b42,"Will S&P 500 (SPX) hit $7,040 (HIGH) in February 2026?",Yes,5857.24,0.1945,0,0,1139.1,-1139.1,-10000,2026-02-28,https://polymarket.com/profile/0x9b06708f82009f5ad2648d6cdc29c45d365b0b42
0x9b06708f82009f5ad2648d6cdc29c45d365b0b42,"Will S&P 500 (SPX) close over $6,860 on the final trading da",No,247.4,0.4244,0,0,105,-105,-10000,2026-02-28,https://polymarket.com/profile/0x9b06708f82009f5ad2648d6cdc29c45d365b0b42
0x9b06708f82009f5ad2648d6cdc29c45d365b0b42,"Will S&P 500 (SPX) close over $7,140 on the final trading da",Yes,151.93,0.0066,0,0,1,-1,-10000,2026-02-28,https://polymarket.com/profile/0x9b06708f82009f5ad2648d6cdc29c45d365b0b42
0x9b06708f82009f5ad2648d6cdc29c45d365b0b42,"Will S&P 500 (SPX) hit $7,100 (HIGH) in February 2026?",Yes,75,0.04,0,0,3,-3,-10000,2026-02-28,https://polymarket.com/profile/0x9b06708f82009f5ad2648d6cdc29c45d365b0b42
0x72ede293ad56fdb4766a1d9fc6e4dadebf0becf7,Will Bitcoin outperform Gold in February 2026?,Yes,300,0.06,0,0,18,-18,-10000,2026-01-31,https://polymarket.com/profile/0x72ede293ad56fdb4766a1d9fc6e4dadebf0becf7
0x72ede293ad56fdb4766a1d9fc6e4dadebf0becf7,Will Bitcoin outperform Silver in February 2026?,Yes,300,0.27,0,0,81,-81,-10000,2026-01-31,https://polymarket.com/profile/0x72ede293ad56fdb4766a1d9fc6e4dadebf0becf7
0x3b1a8b39f8d3a4ce3fe7c1e752cf14c386834221,"Will S&P 500 (SPX) close over $6,700 on the final trading da",No,150,0.0093,0,0,1.4,-1.4,-10000,2026-02-28,https://polymarket.com/profile/0x3b1a8b39f8d3a4ce3fe7c1e752cf14c386834221
0x74919413601bfb577685d47bec38dbb1174fada0,Will Vertiv Holdings (VRT) be added to the S&P 500 by March ,No,81.17,0.37,0,0,30.03,-30.03,-10000,2026-03-31,https://polymarket.com/profile/0x74919413601bfb577685d47bec38dbb1174fada0
0xc18b10a8d864d1d2ef71a58259eb810d52173917,"Will S&P 500 (SPX) hit $7,350 (HIGH) in January?",Yes,91.23,0.017,0,0,1.55,-1.55,-10000,2026-01-31,https://polymarket.com/profile/0xc18b10a8d864d1d2ef71a58259eb810d52173917
0xc18b10a8d864d1d2ef71a58259eb810d52173917,"Will S&P 500 (SPX) hit $6,700 (LOW) in June?",No,10.01,0.08,0,0,0.8,-0.8,-10000,2026-06-30,https://polymarket.com/profile/0xc18b10a8d864d1d2ef71a58259eb810d52173917
0x7ce6fb6efde6ce69b3a74d666f8dea8f3df416a3,"S&P 500 all time high by February 20, 2026?",Yes,313.8,0.0315,0,0,9.87,-9.87,-10000,2026-03-31,https://polymarket.com/profile/0x7ce6fb6efde6ce69b3a74d666f8dea8f3df416a3
0x70812541b44b2d1db290511e5bab00ca4c05818b,Will Vertiv Holdings (VRT) be added to the S&P 500 by March ,No,573.88,0.2724,0,0,156.3,-156.3,-10000,2026-03-31,https://polymarket.com/profile/0x70812541b44b2d1db290511e5bab00ca4c05818b
